index,q,a
1,【永續經營】,"三立以打造「台灣最佳永續媒體」為志業。以大眾媒體影響力為基礎，結合科技創新與永續策略，落實於企業經營與治理，推動ESG，打造具韌性的台灣永續媒體企業。"
2,【Environment 環境保護】綠色營運,"以低碳轉型落實環境保育
三立走遍台灣與世界各地，深刻認知環境保護的重要性。在企業經營上，我們以「綠色營運」作為目標，減少對於環境的衝擊。更發揮媒體影響力，將環境保育轉化為全民共識。"
3,【Social 社會責任】幸福職場,"建構多元共融的工作環境
三立深信永續經營的關鍵，來自於友善的職場與幸福的企業環境。三立支持「以人為本」的育才理念，並透過「科技賦能」加速數位轉型，提升新聞影視製播專業，守護一個多元共融、幸福關懷的韌性媒體。"
4,【Governance 公司治理】創新轉型,"「AI FIRST」為科技轉型目標
三立作為「台灣人的電視台」，努力製作、傳播優質的台灣內容與價值，希望讓「世界看見台灣的美好」。媒體作為「第四權」，有揭露真相、報導公共事務，維護公共利益的責任。面對科技轉型帶來的衝擊，以「AI FIRST」目標帶領公司與時俱進，堅守「專業、品質、正能量」。"
5,永續行動：低碳節能,"6 輛油電採訪車上路，及攝影棚更換LED燈，去年節省電費 162 萬元、減碳 178.6 噸。"
6,永續行動：資源管理,"電子公文一年省下 650 包紙，相當於守護 91 棵樹，員工餐廳全面禁塑，年減 21.8 萬件廢棄物進入環境。"
7,永續行動：健康福祉,"員工健走年累積 2.4 億步，約繞台 200 圈，減碳 34.3 噸。"
8,永續行動：綠色製播,"製作全台首檔跨國辦桌實境節目《請世界吃桌》前進雪梨歌劇院、紐約時報廣場，把最具台灣人情味的辦桌文化搬上國際舞台，且全程響應禁用一次性餐具及廢水廚餘不落地。"
9,永續行動：生物多樣性,"製作《亞洲貓科大復興》、《我的動物同學》及《戰地阿特》等國際級保育作品，記錄瀕危物種並啟動「生態故事列車」前進校園教育，落實生物多樣性保護。"
10,永續行動：永續城鄉,"從「冒險王」到「愛玩客」再到「上山下海過一夜」，三立總計奪下46座金鐘獎殊榮。"
11,永續行動：專業經營,"三立以卓越治理奠定永續基石，蟬聯多年「消費者理想品牌」第一名並獲「幸福企業金獎」肯定。"
12,永續行動：SDGs 永續發展目標,"三立集團倡議聯合國所提出17項2030永續發展目標（SDGs）中之9項作為ESG願景，成為推動永續的行動者，「共創台灣的美好永續」。"
13,三立把攝影棚燈具汰換成 LED，一年省下多少電費？,"NT$162 萬元
162 萬元，足以購買超過 3 萬杯珍珠奶茶！"
14,聯合國所提出17項2030永續發展目標 SDGs，三立集團倡議幾項？,"9 項
三立倡議 9 項 SDGs 永續發展目標！"
15,三立員工餐廳推動禁塑，一年減少多少件廢棄物進入環境？,"21.8 萬件
21.8 萬件！少一個塑膠袋，地球就少一點負擔。"
16,三立以卓越治理奠定永續基石，蟬聯多年什麼獎項的第一名？,"「消費者理想品牌」獎
蟬聯「消費者理想品牌」第一名！"
17,三立面對科技轉型，以什麼為公司與時俱進目標？,"AI FIRST
AI FIRST！以科技領航，引領媒體轉型。"
18,三立有哪一個節目得過金鐘獎？,"以上皆是（上山下海過一夜、綜藝玩很大、超級夜總會）
以上皆是！三立金鐘得獎節目眾多，實力有目共睹。"
19,三立員工健走活動，全年累積步數相當於繞台灣幾圈？,"約 200 圈
約 200 圈！全年累積 2.4 億步，同時減碳 34.3 噸，健康與永續雙贏！"
20,以下哪一個節目是三立推出的生物多樣性節目？,"以上皆是（戰地阿特、我的動物同學、亞洲貓科大復興）
以上皆是！三立製作《亞洲貓科大復興》、《戰地阿特》及《我的動物同學》等國際級保育作品，記錄瀕危物種。"
21,以下哪個節目，是三立製作全台首創跨國實境，將台灣辦桌文化推廣世界，且例行永續廚餘廢水不落地？,"請世界吃桌
《請世界吃桌》前進雪梨歌劇院、紐約時報廣場，把最具台灣人情味的辦桌文化搬上國際舞台，且全程響應禁用一次性餐具及廢水廚餘不落地。"
22,三立秉持媒體責任，以下哪項最能代表企業治理的核心價值？,"製播具人道關懷的報導，善盡媒體社會責任
媒體責任是治理的靈魂！從戰地報導到文化紀錄，三立用內容傳遞真善美，讓社會看見更好的可能。"
